url,title,description,price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
https://alonhadat.com.vn/ban-nha-tam-trinh-nha-dep-moi-tinh-42-m2-2-ty-710-13281270.html,"Bán nhà Tam Trinh, nhà đẹp mới tinh 42 m2, 2 tỷ 710","-	Vị trí đẹp ngõ thông của đường Tam Trinh, phường Yên Sở, quận Hoàng Mai. Kết nối trục vành đai 3 giao thông thuận tiện.
-	Xung quanh khu vực là công viên Yên Sở, hồ Yên Sở cùng rất nhiều đầm hồ lớn. Môi trường điều hòa quanh năm, sinh khí thịnh vượng.
-	Hiện trạng đang là nhà 5 tầng còn rất đẹp, khu vực sống tiện ích ngập tràn, gần trường, gần chợ. Cách anh hàng xóm Gamuda 100m.
-	Giấy tờ pháp lý chuẩn. Giá bán 2 tỷ 710 (có thương lượng).
-	Liên hệ: em Việt – Hoàng Mai.","2,71 tỷ",42 m2,"Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",13281270,_,---,Cần bán,2m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,5,---,---,3,---
https://alonhadat.com.vn/ban-dat-tang-nha-2-tang-khuyen-luong-hoang-mai-ngo-thong-tu-tung-80-m2-4-ty-680-13373954.html,"Bán đất tặng nhà 2 tầng Khuyến Lương, Hoàng Mai ngõ thông tứ tung, 80 m2, 4 tỷ 680","-	Nhà mình nằm ngay đầu ngõ to rất gần ô tô trong ngõ to của đường Khuyến Lương, phường Trần Phú, quận Hoàng Mai. Diện tích đất rộng mua về chia 2 lô quá đẹp.
-	Khu vực Khuyến Lương là một trong những khu vực đang phát triển mạnh của phường Trần Phú, xung quanh là trường học với chung cư đang trong thời kỳ hoàn thiện, đối diện có anh hàng xóm Gamuda tiện ích bạt ngàn, tương lai rạng ngời.
-	Hiện tại trên đất là căn nhà cũ 2 tầng vẫn còn ở tạm hoặc cho thuê thoải mái, nhà gần ngay chợ sát nhà văn hóa không lo chỗ đỗ ô tô, khu vực nhà mình ở ngõ thông tứ tung đi lại rất thuận tiện.
-	Sổ đỏ chính chủ chuẩn pháp lý, giá bán 4 tỷ 680 (có thương lượng), miễn trung gian ngoài.
-	Liên hệ ngay em Việt để xem nhà và vào việc ngay nhé.","4,68 tỷ",80 m2,"Đường Khuyến Lương, Phường Trần Phú, Quận Hoàng Mai, Hà Nội",13373954,_,---,Cần bán,2m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
https://alonhadat.com.vn/ban-dat-khuyen-luong-hoang-mai-gan-pho-gan-o-to-55-m2-gia-chi-nhinh-2-ty-13373933.html,"Bán đất Khuyến Lương, Hoàng Mai gần phố, gần ô tô, 55 m2 giá chỉ nhỉnh 2 tỷ","-	Mảnh đất đẹp nằm trong ngõ to 3 gác của đường Khuyến Lương, phường Trần Phú, quận Hoàng Mai. Nhà chỉ cách vài bước là ra ô tô tránh, thửa đất đẹp mặt tiền rộng phân lô trước sau như một.
-	Khu vực Khuyến Lương đang phát triển mạnh, bộ mặt thay đổi từng ngày, xung quanh đã có 2 tòa chung cư lừng lững đã hoàn thành xong chuẩn bị đưa vào vận hành, trường học mới xây đang dần hoàn thiện.
