url,title,description,price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ,Thuộc dự án
https://alonhadat.com.vn/ban-nha-pho-thach-ban-quan-long-bien-dt-39m2-x-3-tang-gia-2-8-ty-co-thuong-luong-12405514.html,"Bán nhà phố Thạch Bàn, quận Long Biên DT 39m2 x 3 tầng giá 2.8 tỷ có thương lượng","Bán nhà dân xây trung tâm phố Thạch Bàn, quận Long Biên.

Diện tích: 39m2. Xây 3 tầng hết đất. Ô tô đỗ đầu ngõ cách vài bước chân.

Địa chỉ nhà nằm trong ngõ phố Thạch Bàn, quận Long Biên. Vị trí cách cầu Vĩnh Tuy 2 phút di chuyển. Khu dân trí cao, hàng xóm văn minh, an ninh tốt.

Tiện ích xung quanh gần chợ, TTTM Aeon Mall Long Biên, trường học các cấp, công viên...

Giá bán 2.8 tỷ (có thương lượng mạnh).

Liên hệ: 0919-62-9966 Miễn trung gian làm phiền.

Cam kết bán đúng giá thương lượng trực tiếp với chủ nhà. Hỗ trợ khách hàng có nhu cầu chuyển nhượng hoặc cho thuê.","2,8 tỷ",39 m2,"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",12405514,_,---,Cần bán,2m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---,
https://alonhadat.com.vn/ban-nha-mat-pho-thanh-trung-dt-74m-mt-5m-lo-goc-gia-17-ty-10262339.html,"Bán nhà mặt phố Thành Trung DT 74m, MT 5m, lô góc, giá 17 tỷ","Bán nhà mặt phố Thành Trung DT 74m, MT 5m, lô góc, giá 17 tỷ.

Liên hệ cụ thể: 0919-62-9966 (Kết nối mua bán 24/7).

Địa chỉ nhà nằm trên mặt phố Thành Trung, Trâu Quỳ, Gia Lâm. Đường trước mặt 4 làn ô tô, vỉa hè đá bóng.

Vị trí đẹp giao thông kết nối khu đô thị Vinhomes Ocean Park và dự án Euro Windows Twin Park.

Đối diện là chung cư và khu nhà phố giá hơn 20 tỷ giá rất hợp lý.

Miễn phí môi giới. Liên hệ: 0919-62-9966 Chuyên mua bán, ký gửi nhà đất dễ thanh khoản từ 1 tỷ đến 300 tỷ.",17 tỷ,74 m2,"Phố Thành Trung, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",10262339,_,---,Cần bán,40m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,4,---,---,4,---,
https://alonhadat.com.vn/ban-biet-thu-khu-do-thi-viet-hung-dt-206m-mt-11m-vi-tri-dep-gia-hon-36-ty-10137403.html,"Bán biệt thự khu đô thị Việt Hưng DT 206m, MT 11m, vị trí đẹp, giá hơn 36 tỷ","Bán biệt thự khu đô thị Việt Hưng DT 206m, MT 11m, vị trí đẹp, giá hơn 36 tỷ.

Liên hệ cụ thể: 0919-62-9966 (Kết nối mua bán 24/7).

Địa chỉ nhà nằm trong khu đô thị Việt Hưng, Long Biên. Đường trước mặt ô tô tránh nhau, vỉa hè đỗ ngày đêm.

Vị trí hàng xóm khu đô thị Vinhomes Reveside hưởng chọn tiện ích hồ điều hoà của, sân golf…

Nội thất hoàn thiện gần chục tỷ, đá cao cấp, bể cá Koi…

Khu vực ở đẳng cấp kín đáo an ninh tốt có thể kết hợp làm văn phòng.

Miễn phí môi giới. Liên hệ: 0919-62-9966 Chuyên mua bán, ký gửi nhà đất dễ thanh khoản từ 1 tỷ đến 300 tỷ.",36 tỷ,206 m2,"Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",10137403,_,---,Cần bán,15m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,---,5,---,---,6,---,
https://alonhadat.com.vn/hiem-lac-long-quan-dt-30m2x5t-ngo-nong-dep-moi-koong-o-ngay-13533693.html,"HIẾM LẠC LONG QUÂN DT 30M2x5T, NGÕ NÔNG ĐẸP, MỚI KOONG Ở NGAY","Bán nhà Lạc Long Quân 30m2x5T,giá 4 tỷ,ngõ nông,rộng,đẹp,ở luôn 
+Nhà nằm Trung tâm quận Tây Hồ, gần trung nhiều tiện ích xung quanh, nhà vừa xinh tiện ích đầy đủ, thuận tiện cho gia đình nhiều thế hệ.... 
+ Nhà mình bán thuận tiện đi Thụy Khuê, Hoàng Hoa Thám, Võ Chí Công, Trích Sài 
+ Tiện ích ngập tràn, 5 phút ra hồ tây, trường học các cấp, chợ cách nhà mấy phút đi xe. Gần các trường đại học lớn Điện Lực, Kỹ Thuật Quân Sự, Sư Phạm, Ngoại Ngữ. Gần Bệnh viện Tim, Viện E… 
- Nhà 5 tầng kiên cố chắc chắn, khách mua chỉ việc xách vali về ở. 
+ Tầng 1: Sân để xe, khách, bếp, wc. 
+ Tầng 2+3+4: Mỗi tầng 1 ngủ + wc kép kín. 
+ Tầng 5: phòng ngủ, wc và sân phơi. 
Liên hệ MrThế xem nhà miễn phí,miễn trung gian môi giới",4 tỷ,30 m2,"Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",13533693,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,---,3,---,
https://alonhadat.com.vn/hiem-tran-cung-dt32m2x5t-ngo-nong-cach-vien-e-130m-bai-gui-oto-canh-nha-tien-ich-13544073.html,"HIẾM TRẦN CUNG DT32M2x5T, NGÕ NÔNG, CÁCH VIỆN E 130M, BÃI GỬI OTO CẠNH NHÀ, TIỆN ÍCH","-Nhà mới cách viện E 120m, hàng xóm khu đô thị Nam Cường, gần chợ, tiện ích ngập tràn.
-THIẾT KẾ:
+Tầng 1: Để xe, khách bếp, wc
+Tầng 2,3,4: PN+WC
+Tầng 5: Phòng thờ+ sân phơi
Sổ đỏ chính chủ ss giao dịch.","3,7 tỷ",32 m2,"Phố Trần Cung, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",13544073,_,---,Cần bán,2m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,---,3,---,
https://alonhadat.com.vn/biet-thu-5-tang-kdt-lideco-tram-troi-236m-chi-16-ty-hoai-duc-ha-noi-dien-tich-lon-gia-dau-13574049.html,Biệt thự 5 tầng KĐT Lideco Trạm Trôi 236m chỉ 16 tỷ Hoài Đức Hà Nội Diện tích lớn giá đầu,"Biệt thự 5 tầng KĐT Lideco Trạm Trôi 236m chỉ 16 tỷ Hoài Đức Hà Nội Diện tích lớn giá đầu tư chủ cần bán sớm. 

BIỆT THỰ LIỀN KỀ LÔ GÓC 3 MẶT THOÁNG - Ở - KINH DOANH VĂN PHÒNG - NHÀ NGHỈ - KHÁCH SẠN - NHÀ HÀNG - GIÁ 70TR/M2 - CAM KẾT RẺ NHẤT KHU VỰC 

+ Vị trí VIP thuộc KĐT LIDECO sang chảnh , đẳng cấp, tiện nghi, cách Đại học Công nghiệp 1km, qui hoạch ổn định, cơ sở hạ tầng đồng bộ.

+ Thiết kế 5 tầng : 
- Tầng 1: Gara ô tô, kho, cầu thang ngoài lên tầng 2
- Tầng 2,3,4: Mỗi tầng 3 ngủ, wc
- Tầng 5: kho, phòng thờ, sân phơi

+ Phù hợp để ở, làm văn phòng, nhà hàng, nhà nghỉ, khách sạn,...công viên, hồ điều hòa, hệ thống trường liên cấp quốc tế, vỉa hè 4m, ô tô đậu đỗ quanh nhà.

Sổ đỏ chính chủ, vuông đẹp, pháp lý rõ ràng, sẵn sàng giao dịch 

Alo Ngay Tôi Trường Nhà phố để xem căn nhà Phố này.",16 tỷ,236 m2,"Đường Quốc lộ 32, Thị trấn Trạm Trôi, Huyện Hoài Đức, Hà Nội",13574049,_,True,Cần bán,8m,True,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,True,12m,5,True,20m,6,---,Khu đô thị mới Lideco - Bắc Quốc lộ 32 (xem chi tiết dự án)
https://alonhadat.com.vn/nha-6-tang-pho-nghi-tam-lon-45m-quan-tay-ho-ha-noi-view-duong-lon-sieu-thoang-via-he-kinh-13577120.html,Nhà 6 tầng phố Nghi Tàm lớn 45m quận Tây Hồ Hà Nội view đường lớn siêu thoáng vỉa hè kinh,"Nhà 6 tầng phố Nghi Tàm lớn 45m quận Tây Hồ Hà Nội view đường lớn siêu thoáng vỉa hè kinh doanh gần Hồ Tây phố Thanh Yên. 

NHÀ MẶT PHỐ - VỈA HÈ - KINH DOANH BUÔN BÁN SẦM UẤT - ĐOẠN ĐẸP NHẤT PHỐ NGHI TÀM - ĐOẠN MỚI MỞ ĐƯỜNG RỘNG NHƯ SÂN BAY. 

+ Nhà Nằm Mặt Phố Nghi Tàm Đẹp Nhất, Phố. Kinh doanh bất chấp 

Thiết kế 6 tầng 1 hầm và 5 tầng nổi 
+ Tầng 1 Kinh Doanh, Bếp, Tầng Lửng Phòng Khách.
+ Tầng 2,3,4 Mỗi Tầng 2 Phòng Ngủ rộng + vs.
+ Tầng 5 Phòng Thờ sân phơi.

+ Sổ đỏ chính chủ, cất két , vuông vắn, nở hậu chút. Giao dịch ngay.

+ CN cán Bộ nghỉ hưu, bán nhà chuyển vào Sài Gòn ở cùng con cháu. 

Alo Ngay Tôi Trường Nhà phố  để xem căn nhà Phố này.",21 tỷ,45 m2,"Đường Nghi Tàm, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",13577120,_,True,Cần bán,36m,True,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,True,4m,6,True,11m,6,---,
https://alonhadat.com.vn/toa-nha-10-tang-29-can-ho-au-co-chao-21ty-tay-ho-ha-noi-view-ho-tay-tho-mong-lo-goc-thong-13578652.html,Tòa nhà 10 tầng 29 căn hộ Âu Cơ chào 21tỷ Tây Hồ Hà Nội view Hồ Tây thơ mộng lô góc thông,"Tòa nhà 10 tầng 29 căn hộ Âu Cơ chào 21tỷ Tây Hồ Hà Nội view Hồ Tây thơ mộng lô góc thông thoáng. 

LÔ GÓC TÒA APARTMENT DÒNG TIỀN LỚN NHƯ CON GÀ ĐẺ TRỨNG VÀNG 
DOANH THU ĐỀU NHƯ VẮT CHANH HÀNG 100 TRIỆU 1 THÁNG.

Tự vận hành doanh thu đạt 160 Tháng
Đã lắp đặt full Nội Thất và cho Thuê kín Phòng 

Nhà thiết kế tiêu chuẩn Châu Âu 
Gồm 29 Phòng
Tầng 1 xe máy tầng 2 3 phòng 
tầng 3-4-5-6-7-8 4 phòng 
tầng 9 2phòng tổng 29 phòng khép kín 
Tầng 10 sân phơi rộng rãi. 

toàn khách Tây Thuê 
Đã cho bên thứ ba Thuê vận hành 

Hệ thống Phòng cháy chữa cháy Thoát Hiểm đầy đủ vận hành trơn tru .

Dạo bách bộ mấy bước chân là ra góc Thung Lũng Hoa Hồ Tây.
Tiện ích vô vàn.

Sổ vuông vắn sẵn sàng giao dịch. 

Alo Ngay Tôi Trường Nhà phố để xem căn nhà Phố này.",21 tỷ,85 m2,"Đường Âu Cơ, Phường Quảng An, Quận Tây Hồ, Hà Nội",13578652,_,True,Cần bán,5m,True,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,True,10m,10,---,"8,5m",29,---,
https://alonhadat.com.vn/nha-9-tang-pho-hang-bun-80m-quan-ba-dinh-ha-noi-mat-pho-vip-gan-hoan-kiem-ra-ho-truc-bach-13582035.html,Nhà 9 tầng phố Hàng Bún 80m quận Ba Đình Hà Nội mặt phố vip gần Hoàn Kiếm ra hồ Trúc Bạch,"Nhà 9 tầng phố Hàng Bún 80m quận Ba Đình Hà Nội mặt phố vip gần Hoàn Kiếm ra hồ Trúc Bạch Hồ Tây cực gần thể dục thư giãn. 

TÒA NHÀ 9 TẦNG THANG MÁY - VỈA HÈ ĐÁ BÓNG KINH DOANH GARA OTO RỘNG RÃI 
DÒNG TIỀN 1,5 TỶ/NĂM - KD SIÊU ĐỈNH 

Tòa nhà 9 tầng thang máy nội thất xịn xò, vị trí phố Hàng, oto 2 chiều. Trung tâm Ba Đình, hàng xóm Hoàn Kiếm. 
Tòa nhà được thiết kế 7 tầng 1 lửng 1 tum: 
- T1: Để xe
- T2,3,4,5: Thông sàn
- T6,7,8: Thiết kế dạng phòng Master, 
- T9: Tầng tum, thông sàn để chờ có thể xây lên thoải mái. 

Hiện đang cho bên thuê 120t/tháng, HĐ 5 năm, hiện mới đang thu tiền kỳ t2. 

Nhà 1 sổ 1 chủ sẵn sàng giao dịch. 

ALO NGAY TÔI TRƯỜNG NHÀ PHỐ  ĐỂ XEM CĂN NHÀ PHỐ NÀY.",65 tỷ,80 m2,"Phố Hàng Bún, Phường Nguyễn Trung Trực, Quận Ba Đình, Hà Nội",13582035,_,True,Cần bán,12m,True,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,True,6m,9,True,13m,5,---,
https://alonhadat.com.vn/nha-dep-5-tang-pho-tang-bat-ho-chao-11-5-ty-hai-ba-trung-ha-noi-phan-lo-oto-qua-nha-gan-ho-13586446.html,Nhà đẹp 5 tầng phố Tăng Bạt Hổ chào 11.5 tỷ Hai Bà Trưng Hà Nội phân lô oto qua nhà gần Ho,"Nhà đẹp 5 tầng phố Tăng Bạt Hổ chào 11.5 tỷ Hai Bà Trưng Hà Nội phân lô oto qua nhà gần Hoàn Kiếm tiện ích chả thiếu gì. 

TRUNG TÂM - 20M RA PHỐ - ÔTÔ ĐỖ CỬA - Ở SƯỚNG - 5 PHÚT LÊN HỒ GƯƠM 

+ Vị trí: Phố VIP quận Hai Bà Trưng, nằm tiếp giáp với phố Trần Hưng Đạo quận Hoàn Kiếm. Dọc con phố toàn nhà của cán bộ quân đội cấp cao và Lãnh đạo TW Đảng. 

+ Nhà thuộc khu phân cho sĩ quan cao cấp của Quân khu Thủ đô nên dân trí cao, an ninh tuyệt đối, ô tô vào tận cửa nhà. Gần BV Quân Y 108, đối diện là Cung Văn hóa Thanh Niên….

THIẾT KẾ: 

+ Nhà 5 tầng KCBT chắc chắn, chủ mới về sơn sửa chút là đẹp long lanh.

+ Tầng 1: Phòng khách, bếp, Wc.
+ Tầng 2,3,4: Mỗi tầng 1 ngủ, Wc.
+ Tầng 5: Phòng thờ, sân phơi.

+ Sổ đỏ chính chủ, sẵn sàng giao dịch.

Alo Ngay Tôi Trường Nhà phố để xem căn nhà Phố này.","11,5 tỷ",45 m2,"Phố Tăng Bạt Hổ, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",13586446,_,True,Cần bán,6m,True,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,True,5m,5,True,9m,3,---,
