url,title,description,price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
https://alonhadat.com.vn/ban-dat-khuyen-luong-hoang-mai-ngo-nong-gan-pho-gan-o-to-55-m2-3-ty-650-13409991.html,"Bán đất Khuyến Lương, Hoàng Mai, ngõ nông, gần phố, gần ô tô 60 m2, 3 tỷ 750","-	Vị trí đẹp nằm trong ngõ thẳng của đường Khuyến Lương, phường Trần Phú, quận Hoàng Mai. Rất gần phố, gần ô tô, thông số nhà đẹp diện tích này mà xây lên 5 tầng quá ngon.
-	Khu vực Khuyến Lương đang phát triển từng ngày, xung quanh có trường học đang xây dựng, chung cư chuẩn bị đi vào hoạt động, các khu ủy ban hành chính cũng gần.
-	Hiện trạng là thửa đất vuông đẹp nên không có gì mô tả nhiều, khách hàng alo em để em đưa vào chiêm ngưỡng vẻ đẹp của mảnh đất đẹp của Khuyến Lương nhé.
-	Sổ đỏ chính chủ vuông đẹp giao dịch sang tên ngay, giá bán 3 tỷ 750 (có thương lượng), miễn trung gian môi giới.
-	Liên hệ: em Việt để xem đất nhé.","3,75 tỷ",60 m2,"Đường Khuyến Lương, Phường Trần Phú, Quận Hoàng Mai, Hà Nội",13409991,_,---,Cần bán,3m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
https://alonhadat.com.vn/ban-nha-vinh-hung-hoang-mai-lo-goc-3-thoang-ngo-thong-gan-pho-gan-o-to-chi-co-nhinh-3-13403110.html,"Bán nhà Vĩnh Hưng, Hoàng Mai lô góc 3 thoáng, ngõ thông, gần phố, gần ô tô chỉ nhỉnh 3 tỷ","-	Vị trí nhà đẹp nằm ở lo góc 3 thoáng trong ngõ thông của đường Vĩnh Hưng, phường Vĩnh Hưng, quận Hoàng Mai. Xung quanh tiện ích bao la chả thiếu thứ gì, nhà mình ba gác và-	Khu vực Vĩnh Hưng dân cư tập trung đông, hàng quán tấp nập các tiện ích xung quanh đầy đủ, trường chợ bao quanh rất tiện lợi, nhà nằm trong ngõ rất yên tĩnh, hàng xóm thân thiện.
-	Nhà có thiết kế 4 tầng vẫn còn rất mới, 3 phòng ngủ đủ công năng sử dụng, nhà ở lô góc rất thoáng sáng tự nhiên, các tầng đều có ban công nên rất thoáng mát.
-	Sổ đỏ chính chủ pháp lý chuẩn sang tên nhanh gọn, giá bán 3 tỷ 100 (có thương lượng), miễn trung gian.
-	Liên hệ: em Việt để xem nhà ngay nhé.
o tận cửa.","3,1 tỷ",33 m2,"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",13403110,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,4,---,---,4,---
https://alonhadat.com.vn/ban-nha-vinh-hung-hoang-mai-mat-ngo-phan-lo-o-to-do-cua-50-m2-4-ty-600-13403533.html,"Bán nhà Vĩnh Hưng, Hoàng Mai, mặt ngõ phân lô, ô tô đỗ cửa, 50 m2, 4 tỷ 600","-	Nhà nằm ngay mặt ngõ to của đường Vĩnh Hưng, phường Vĩnh Hưng, quận Hoàng Mai. tiện ích xung quanh vô cùng đầy đủ, gần chợ dân sinh, trường học siêu thị, hàng quán tấp nập.
-	Khu vực Vĩnh Hưng gần kề Lĩnh Nam, Tân Khai, Đông Thiên đang phát triển rất mạnh mẽ, tương lai đường xá mở rộng, rất nhiều dự án đang xây dựng, bộ mặt của Vĩnh Hưng đang thay đổi từng ngày, lúc này mua nhà là quá hợp lý.
-	Nhà mình có thiết kế 3 tầng với 3 phòng ngủ đẹp, cầu thang sàn gỗ sang xịn mịn, thiết kế vô cùng hợp lý công năng sử dụng không chê vào đâu được, mình muốn bán để mua nhà to hơn.
-	Sổ đỏ chính chủ vuông đẹp sang tên ngay, giá bán 4 tỷ 600 (có thương lượng), mình không tiếp chuyện môi giới.
-	Liên hệ: em Việt để xem nhà ngay nhé.","4,6 tỷ",50 m2,"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",13403533,_,---,Cần bán,"4,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
https://alonhadat.com.vn/ban-nha-vinh-hung-hoang-mai-chi-3-buoc-ra-o-to-5-tang-thoang-dep-o-luon-45-m2-3-ty-950-13403222.html,"Bán nhà Vĩnh Hưng, Hoàng Mai, chỉ 3 bước ra ô tô, 5 tầng thoáng đẹp ở luôn 45 m2, 3 tỷ 950","-	Nhà nằm trong ngõ to ba gác đua của đường Vĩnh Hưng, phường Vĩnh Hưng, quận Hoàng Mai. Ngõ nhà mình thống sang phố Tân Khai, xung quanh kinh doanh tấp nập.
-	Khu vực Vĩnh Hưng toàn ngõ to thẳng tắp, thông thoáng về các ngả, khu vực phát triển từng ngày, tiện ích xung quanh trường chợ hàng quán chả thiếu thứ gì.
-	Nhà mình có thiết kế 5 tầng lừng lững rất chắc chắn, nhà mới tinh với 3 phòng ngủ thoải mái sử dụng, trước nhà có khoản sân gần 20 m2 rất thoáng, xe cộ để thoải mái.
-	Sổ đỏ chính chủ vuông đẹp chuẩn pháp lý, giá bán 3 tỷ 950 (có thương lượng), không tiếp chuyện môi giới.
